Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
rwsuiAlliedPlayerIcon_Toggle,,,,,Allied Player Icon,,Symbol des verbündeten Spielers,Icono de jugador aliado,Icône de joueur allié,Icona del giocatore alleato,味方プレイヤーアイコン,아군 플레이어 아이콘,Ikona sojuszniczego gracza,Ícone de jogador aliado,Значок союзного игрока,Müttefik Oyuncu Simgesi,盟军玩家图标,盟軍玩家圖標
rwsuiAlliedPlayerIcon_Toggle_Desc,,,,,Toggles the On Screen Allied Player Icon being displayed on or off. \n\nThis is the on screen player icon that shows in the world when within 20m of party members. Does not remove the allied player icons from the compass or map.,,"Schaltet die Anzeige des Verbündeten-Symbols auf dem Bildschirm ein oder aus. \n\nDieses Symbol wird in der Spielwelt angezeigt, wenn sich Gruppenmitglieder in einem Umkreis von 20 Metern befinden. Die Verbündeten-Symbole auf Kompass und Karte bleiben erhalten.",Activa o desactiva la visualización del ícono de jugador aliado en pantalla. \n\nEste ícono se muestra en pantalla cuando se está a menos de 20 m de los miembros del grupo. No elimina los íconos de jugador aliado de la brújula ni del mapa.,Active ou désactive l'affichage de l'icône de joueur allié à l'écran. Cette icône s'affiche dans le monde lorsque le joueur se trouve à moins de 20 m des membres de son groupe. Elle ne supprime pas les icônes de joueur allié de la boussole ni de la carte.,Attiva o disattiva la visualizzazione dell'icona del giocatore alleato sullo schermo. \n\nQuesta è l'icona del giocatore sullo schermo che appare nel mondo di gioco quando ci si trova entro 20 metri dai membri del gruppo. Non rimuove le icone del giocatore alleato dalla bussola o dalla mappa.,画面上の味方プレイヤーアイコンの表示/非表示を切り替えます。\n\nこれは、パーティメンバーから20m以内にいるときに表示される画面上のプレイヤーアイコンです。コンパスやマップから味方プレイヤーアイコンが消えることはありません。,화면에 표시되는 아군 플레이어 아이콘을 켜거나 끕니다. 이 아이콘은 파티원과 20m 이내에 있을 때 게임 화면에 나타납니다. 나침반이나 지도에서 아군 플레이어 아이콘을 제거하는 기능은 아닙니다.,Włącza lub wyłącza wyświetlanie ikony sojusznika na ekranie. \n\nTo ikona gracza wyświetlana na ekranie w odległości do 20 m od członków drużyny. Nie usuwa ikon sojuszników z kompasu ani mapy.,Ativa ou desativa a exibição do ícone de jogador aliado na tela. Este é o ícone de jogador que aparece no mundo quando o jogador está a 20 metros dos membros do grupo. Não remove os ícones de jogador aliado da bússola ou do mapa.,"Включает или выключает отображение значка союзного игрока на экране. \n\nЭто значок игрока, который отображается в игровом мире, когда вы находитесь в пределах 20 метров от членов группы. Не удаляет значки союзных игроков с компаса или карты.","Ekranda müttefik oyuncu simgesinin görüntülenmesini açar veya kapatır. \n\nBu, parti üyelerine 20 metre mesafede olduğunuzda dünyada görünen ekran oyuncu simgesidir. Pusuladan veya haritadan müttefik oyuncu simgelerini kaldırmaz.",切换屏幕上显示的友方玩家图标的显示状态。\n\n此图标会在玩家距离队友20米以内时显示在游戏世界中。此操作不会从指南针或地图上移除友方玩家图标。,切換螢幕上顯示的友方玩家圖示的顯示狀態。 \n\n此圖示會在玩家距離隊友20公尺以內時顯示在遊戲世界中。此操作不會從指南針或地圖上移除友方玩家圖示。
rwsuiCraftingUI_Category,,,,,Crafting UI Settings,,UI-Einstellungen gestalten,Creación de configuraciones de IU,Paramètres de l'interface utilisateur de fabrication,Creazione delle impostazioni dell'interfaccia utente,UI設定の作成,제작 UI 설정,Ustawienia interfejsu użytkownika,Criando configurações de interface do usuário,Настройки пользовательского интерфейса для создания предметов,Kullanıcı Arayüzü Ayarlarını Oluşturma,制作用户界面设置,製作使用者介面設定
rwsuiCraftingUI_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiForgeInput3Slot_Toggle,,,,,3 Forge Inputs,,3 Schmiedeeingänge,3 entradas de forja,3 entrées de forge,3 Input di Forge,3 フォージ入力,3개의 단조 입력,3 wejścia kuźni,3 entradas do Forge,3 Входных параметра кузницы,3 Forge Girişi,3 锻造输入,3 鍛造輸入
rwsuiForgeInput3Slot_Toggle_Desc,,,,,Toggle on to expand the forge inputs to 03 slots. \n\nThis setting should not be turned off on a save has it turned on.,,"Aktivieren Sie diese Option, um die Schmiedeeingänge auf 3 Slots zu erweitern. \n\nDiese Einstellung sollte nicht deaktiviert werden, wenn sie in einem Spielstand bereits aktiviert ist.",Activa esta opción para expandir las entradas de la forja a 03 ranuras. \n\nEsta configuración no debe desactivarse en un guardado si está activada.,Activez cette option pour étendre les entrées de la forge à 03 emplacements. Ce paramètre ne doit pas être désactivé sur une sauvegarde où il est activé.,Attiva per espandere gli input della fucina a 03 slot. \n\nQuesta impostazione non dovrebbe essere disattivata in un salvataggio in cui è attivata.,オンに切り替えると、フォージ入力が 03 スロットに拡張されます。\n\nこの設定は、オンになっている場合は保存時にオフにしないでください。,대장간 입력 슬롯을 3개로 확장하려면 이 옵션을 켜십시오. \n\n이 설정은 켜진 상태로 저장된 게임에서는 끄지 마십시오.,"Włącz, aby rozszerzyć wejścia kuźni do slotów 03. \n\nJeśli to ustawienie jest włączone, nie należy go wyłączać podczas zapisywania gry.",Ative esta opção para expandir as entradas da forja para 3 slots. \n\nEsta configuração não deve ser desativada se o jogo já estiver salvo com ela ativada.,"Включите эту опцию, чтобы расширить количество входных отверстий кузницы до 03 слотов. \n\nЭту настройку не следует отключать в сохранении, если она включена.","Bu ayarı açarak, dövme girişlerini 3 yuvaya genişletebilirsiniz. Bu ayar, kayıt dosyasında açıkken kapatılmamalıdır.",开启此功能可将锻造输入槽扩展至 3 个槽位。\n\n如果存档已开启此功能，则不应将其关闭。,開啟此功能可將鍛造輸入槽擴充至 3 個插槽。 \n\n如果存檔已開啟此功能，則不應將其關閉。
rwsuiCraftingQueueSize_Option,,,,,Crafting Queue Size,,Größe der Herstellungswarteschlange,Tamaño de la cola de elaboración,Taille de la file d'attente de fabrication,Dimensione della coda di creazione,クラフトキューのサイズ,제작 대기열 크기,Rozmiar kolejki rzemieślniczej,Tamanho da fila de produção,Размер очереди крафта,Üretim Sırası Boyutu,制作队列大小,製作隊列大小
rwsuiCraftingQueueSize_Option_Desc,,,,,"Current Values: \n Vanilla, 05_Slots \n\nThis can expand crafting queue to 5 slots. \n\n Once crafting queue size is expanded it should not be reduced again on the same save. More options might be added to this at some point.",,"Aktuelle Werte: \n Vanilla, 05_Slots \n\nDies erweitert die Herstellungswarteschlange auf 5 Slots. \n\nNachdem die Größe der Herstellungswarteschlange erweitert wurde, sollte sie im selben Spielstand nicht wieder reduziert werden. Weitere Optionen könnten zu einem späteren Zeitpunkt hinzugefügt werden.","Valores actuales: \n Vanilla, 05_Slots \n\nEsto puede ampliar la cola de creación a 5 ranuras. \n\n Una vez ampliada la cola de creación, no debería reducirse en la misma partida. Es posible que se añadan más opciones en el futuro.","Valeurs actuelles : \n Vanilla, 05_Slots \n\nCette option permet d'étendre la file d'attente de fabrication à 5 emplacements. \n\n Une fois la file d'attente étendue, elle ne devrait plus être réduite dans la même sauvegarde. D'autres options pourraient être ajoutées ultérieurement.","Valori attuali: \n Vanilla, 05_Slot \n\nQuesto può espandere la coda di creazione a 5 slot. \n\nUna volta espansa la coda di creazione, non dovrebbe ridursi ulteriormente nello stesso salvataggio. Altre opzioni potrebbero essere aggiunte in futuro.",現在の値: \n バニラ、05_Slots \n\nこれにより、クラフトキューを5スロットまで拡張できます。\n\n クラフトキューのサイズを一度拡張すると、同じセーブデータ内で再度サイズを縮小することはできません。今後、さらにオプションが追加される可能性があります。,"현재 값: 바닐라, 5개 슬롯 제작 대기열을 최대 5개 슬롯까지 확장할 수 있습니다. 제작 대기열 크기가 확장되면 동일한 저장 파일 내에서 다시 축소할 수 없습니다. 향후 더 많은 옵션이 추가될 수 있습니다.","Bieżące wartości: \n Vanilla, 05_Slots \n\nMoże to rozszerzyć kolejkę rzemieślniczą do 5 slotów. \n\n Po zwiększeniu rozmiaru kolejki rzemieślniczej nie powinna ona zostać ponownie zmniejszona podczas tego samego zapisu. W pewnym momencie możemy dodać do tego więcej opcji.","Valores atuais: \n Vanilla, 05_Slots \n\nIsso pode expandir a fila de criação para 5 espaços. \n\nUma vez que o tamanho da fila de criação for expandido, ele não deverá ser reduzido novamente no mesmo jogo salvo. Mais opções poderão ser adicionadas a isso futuramente.","Текущие значения: \n Vanilla, 05_Slots \n\nЭто позволяет расширить очередь крафта до 5 слотов. \n\nПосле расширения размер очереди крафта не должен уменьшаться снова в том же сохранении. В будущем могут быть добавлены дополнительные параметры.","Mevcut Değerler: \n Vanilla, 05_Slots \n\nBu, üretim kuyruğunu 5 yuvaya kadar genişletebilir. \n\nÜretim kuyruğu boyutu genişletildikten sonra, aynı kayıt dosyasında tekrar azaltılamaz. İlerleyen zamanlarda buna daha fazla seçenek eklenebilir.",当前值：\n原版，05_槽位\n\n此选项可将制作队列扩展至5个槽位。\n\n制作队列大小一旦扩展，在同一存档中不应再次缩小。未来可能会添加更多选项。,目前值：\n原版，05_插槽\n\n此選項可將製作佇列擴充至5個插槽。 \n\n製作佇列大小一旦擴展，在同一檔案中不應再次縮小。未來可能會添加更多選項。
rwsuiPlayerBackPack_Category,,,,,Player BackPack Settings,,Spieler-Rucksack-Einstellungen,Configuración de la mochila del jugador,Paramètres du sac à dos du joueur,Impostazioni dello zaino del giocatore,プレイヤーバックパック設定,플레이어 배낭 설정,Ustawienia plecaka gracza,Configurações da Mochila do Jogador,Настройки рюкзака игрока,Oyuncu Sırt Çantası Ayarları,玩家背包设置,玩家背包設置
rwsuiPlayerBackPack_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiPlayerBackPackSize_Option,,,,,Backpack Size,,Rucksackgröße,Tamaño de la mochila,Taille du sac à dos,Dimensioni dello zaino,バックパックのサイズ,배낭 크기,Rozmiar plecaka,Tamanho da mochila,Размер рюкзака,Sırt Çantası Boyutu,背包尺寸,背包尺寸
rwsuiPlayerBackPackSize_Option_Desc,,,,,Increase the number of pages the player backpack has to one of the following: \n\n'2_Pages' (90 slots) \n\n'3_Pages' (135 slots) \n\n'4_Pages' (180 slots) \n\n'5_Pages' (225 slots) \n\n'6_Pages' (270 slots) \n\nNOTE: Once player backpack size is expanded it should not be reduced again on the same save.,,"Erhöhen Sie die Anzahl der Seiten im Spielerrucksack auf einen der folgenden Werte: \n\n'2_Seiten' (90 Plätze) \n\n'3_Seiten' (135 Plätze) \n\n'4_Seiten' (180 Plätze) \n\n'5_Seiten' (225 Plätze) \n\n'6_Seiten' (270 Plätze) \n\nHINWEIS: Sobald die Größe des Spielerrucksacks erweitert wurde, sollte sie im selben Spielstand nicht wieder verringert werden.","Aumenta la cantidad de páginas que tiene la mochila del jugador a una de las siguientes opciones: \n\n'2_Páginas' (90 espacios) \n\n'3_Páginas' (135 espacios) \n\n'4_Páginas' (180 espacios) \n\n'5_Páginas' (225 espacios) \n\n'6_Páginas' (270 espacios) \n\nNOTA: Una vez que se amplía el tamaño de la mochila del jugador, no se debe reducir nuevamente en el mismo guardado.","Augmentez le nombre de pages du sac à dos du joueur à l'une des valeurs suivantes : \n\n'2_Pages' (90 emplacements) \n\n'3_Pages' (135 emplacements) \n\n'4_Pages' (180 emplacements) \n\n'5_Pages' (225 emplacements) \n\n'6_Pages' (270 emplacements) \n\nREMARQUE : Une fois la taille du sac à dos du joueur augmentée, elle ne doit plus être réduite sur la même sauvegarde.","Aumenta il numero di pagine dello zaino del giocatore a uno dei seguenti: \n\n'2_Pagine' (90 slot) \n\n'3_Pagine' (135 slot) \n\n'4_Pagine' (180 slot) \n\n'5_Pagine' (225 slot) \n\n'6_Pagine' (270 slot) \n\nNOTA: una volta che le dimensioni dello zaino del giocatore vengono aumentate, non dovrebbero essere ridotte di nuovo nello stesso salvataggio.",プレイヤーのバックパックのページ数を次のいずれかに増やします: \n\n'2_Pages' (90 スロット) \n\n'3_Pages' (135 スロット) \n\n'4_Pages' (180 スロット) \n\n'5_Pages' (225 スロット) \n\n'6_Pages' (270 スロット) \n\n注: プレイヤーのバックパックのサイズを一度拡張すると、同じ保存で再びサイズを縮小することはできません。,플레이어 배낭의 페이지 수를 다음 중 하나로 늘리세요. \n\n'2페이지' (90칸) \n\n'3페이지' (135칸) \n\n'4페이지' (180칸) \n\n'5페이지' (225칸) \n\n'6페이지' (270칸) \n\n참고: 플레이어 배낭 크기를 확장한 후에는 동일한 저장 파일에서 다시 줄일 수 없습니다.,Zwiększ liczbę stron w plecaku gracza do jednej z następujących wartości: \n\n'2_Strony' (90 slotów) \n\n'3_Strony' (135 slotów) \n\n'4_Strony' (180 slotów) \n\n'5_Strony' (225 slotów) \n\n'6_Strony' (270 slotów) \n\nUWAGA: Po zwiększeniu rozmiaru plecaka gracza nie należy go ponownie zmniejszać podczas tego samego zapisu.,"Aumente o número de páginas da mochila do jogador para um dos seguintes valores: \n\n'2_Páginas' (90 espaços) \n\n'3_Páginas' (135 espaços) \n\n'4_Páginas' (180 espaços) \n\n'5_Páginas' (225 espaços) \n\n'6_Páginas' (270 espaços) \n\nNOTA: Depois de expandir o tamanho da mochila do jogador, ele não deve ser reduzido novamente no mesmo jogo salvo.",Увеличьте количество страниц в рюкзаке игрока до одного из следующих значений: \n\n'2_страницы' (90 слотов) \n\n'3_страницы' (135 слотов) \n\n'4_страницы' (180 слотов) \n\n'5_страниц' (225 слотов) \n\n'6_страниц' (270 слотов) \n\nПРИМЕЧАНИЕ: После увеличения размера рюкзака игрока его нельзя уменьшать повторно в том же сохранении.,"Oyuncu sırt çantasının sayfa sayısını aşağıdakilerden birine yükseltin: \n\n'2_Sayfa' (90 yuva) \n\n'3_Sayfa' (135 yuva) \n\n'4_Sayfa' (180 yuva) \n\n'5_Sayfa' (225 yuva) \n\n'6_Sayfa' (270 yuva) \n\nNOT: Oyuncu sırt çantasının boyutu bir kez genişletildikten sonra, aynı kayıt dosyasında tekrar küçültülmemelidir.",将玩家背包的页数增加到以下数量之一：\n\n'2_Pages'（90 个格子）\n\n'3_Pages'（135 个格子）\n\n'4_Pages'（180 个格子）\n\n'5_Pages'（225 个格子）\n\n'6_Pages'（270 个格子）\n\n注意：玩家背包容量一旦增加，就不能在同一存档中再次减少。,將玩家背包的頁數增加到以下數量之一：\n\n'2_Pages'（90 個格子）\n\n'3_Pages'（135 格）\n\n'4_Pages'（180 個格子）\n\n'5_Pages'（225 個格）\n\n'6_Pages'（270個格子）\n\n注意：玩家背包容量一旦增加，就不能在同一存檔中再次減少。
rwsuiDroneStorageSize_Category,,,,,Drone Storage Settings,,Drohnen-Speichereinstellungen,Configuración de almacenamiento de drones,Paramètres de stockage du drone,Impostazioni di archiviazione dei droni,ドローンの保管設定,드론 저장 설정,Ustawienia przechowywania drona,Configurações de armazenamento de drones,Настройки хранения дрона,Drone Depolama Ayarları,无人机存储设置,無人機存儲設置
rwsuiDroneStorageSize_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiDroneStorageSize_Option,,,,,Drone Storage Size,,Drohnen-Lagergröße,Tamaño de almacenamiento del dron,Taille de stockage du drone,Dimensioni dello spazio di archiviazione dei droni,ドローンの保管サイズ,드론 보관 크기,Rozmiar pamięci drona,Tamanho de armazenamento do drone,Размер хранилища для дрона,Drone Depolama Boyutu,无人机存储容量,無人機儲存容量
rwsuiDroneStorageSize_Option_Desc,,,,,"Current Values: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nOnce drone storage size is expanded it should not be reduced again on the same save.",,"Aktuelle Werte: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nSobald die Drohnenspeichergröße erweitert wurde, sollte sie im selben Spielstand nicht wieder verringert werden.","Valores actuales: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nUna vez que se amplía el tamaño de almacenamiento del dron, no se debe reducir nuevamente en el mismo guardado.","Valeurs actuelles : \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nUne fois la taille de stockage des drones augmentée, elle ne doit plus être réduite sur la même sauvegarde.","Valori attuali: \n Vanilla, 10_Slot, 20_Slot, 30_Slot, 40_Slot, 50_Slot, 60_Slot, 70_Slot, 80_Slot \n\nUna volta che la dimensione dello spazio di archiviazione del drone viene aumentata, non dovrebbe essere ridotta di nuovo nello stesso salvataggio.",現在の値: \n Vanilla、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots \n\nドローンのストレージ サイズを一度拡張すると、同じ保存で再度縮小することはできません。,"현재 값: 바닐라, 10슬롯, 20슬롯, 30슬롯, 40슬롯, 50슬롯, 60슬롯, 70슬롯, 80슬롯 드론 저장 공간은 한 번 확장되면 동일한 저장 파일 내에서 다시 축소할 수 없습니다.","Bieżące wartości: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nPo zwiększeniu rozmiaru pamięci dronów nie powinien on zostać ponownie zmniejszony podczas tego samego zapisu.","Valores atuais: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nUma vez que o tamanho do armazenamento de drones seja expandido, ele não deve ser reduzido novamente no mesmo jogo salvo.","Текущие значения: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nПосле увеличения размера хранилища дронов его не следует уменьшать повторно в том же сохранении.","Mevcut Değerler: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots \n\nDrone depolama boyutu bir kez genişletildikten sonra, aynı kayıt dosyasında tekrar azaltılmamalıdır.",当前值：\n Vanilla、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots \n\n无人机存储容量一旦扩大，在同一存档中就不应该再缩小。,目前值：\n Vanilla、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots \n\n無人機儲存容量一旦擴大，在同一存檔中就不應該再縮小。
rwsuiVehicleStorage_Category,,,,,Vehicle Storage Settings,,Fahrzeuglagerungseinstellungen,Configuración de almacenamiento del vehículo,Paramètres de stockage du véhicule,Impostazioni di stoccaggio del veicolo,車両保管設定,차량 보관 설정,Ustawienia przechowywania pojazdu,Configurações de armazenamento do veículo,Настройки хранения данных в автомобиле,Araç Depolama Ayarları,车辆存储设置,車輛存儲設定
rwsuiVehicleStorage_Category_Desc,,,,,,,,,,,,,,,,,,
rwsuiBicycleStorageSize_Option,,,,,Bicycle Storage Size,,Fahrradaufbewahrungsgröße,Tamaño del almacenamiento de bicicletas,Taille du rangement pour vélos,Dimensioni del deposito per biciclette,自転車保管サイズ,자전거 보관 크기,Rozmiar przechowalni rowerów,Tamanho do espaço para guardar bicicletas,Размер отсека для хранения велосипеда,Bisiklet Saklama Boyutu,自行车存放空间,自行車存放空間
rwsuiBicycleStorageSize_Option_Desc,,,,,"Current Values: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nOnce vehicle storage size is expanded it should not be reduced again on the same save.",,"Aktuelle Werte: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nSobald die Fahrzeuglagergröße erweitert wurde, sollte sie im selben Spielstand nicht wieder verringert werden.","Valores actuales: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nUna vez que se amplía el tamaño de almacenamiento del vehículo, no se debe reducir nuevamente en el mismo guardado.","Valeurs actuelles : \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nUne fois la taille de stockage des véhicules augmentée, elle ne doit plus être réduite sur la même sauvegarde.","Valori attuali: \n Vanilla, 10_Slot, 20_Slot, 30_Slot, 40_Slot, 50_Slot, 60_Slot, 70_Slot, 80_Slot, 90_Slot \n\nUna volta che la dimensione dello spazio di archiviazione del veicolo è aumentata, non dovrebbe essere ridotta di nuovo nello stesso salvataggio.",現在の値: \n Vanilla、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots、90_Slots \n\n車両の保管サイズを一度拡張すると、同じ保存で再度縮小することはできません。,"현재 값: 바닐라, 10슬롯, 20슬롯, 30슬롯, 40슬롯, 50슬롯, 60슬롯, 70슬롯, 80슬롯, 90슬롯 차량 보관함 크기는 한 번 확장되면 동일한 저장 파일 내에서 다시 축소할 수 없습니다.","Bieżące wartości: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nPo zwiększeniu rozmiaru magazynu pojazdów nie powinien on zostać ponownie zmniejszony podczas tego samego zapisu.","Valores atuais: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nUma vez que o tamanho do armazenamento de veículos seja expandido, ele não deve ser reduzido novamente no mesmo jogo salvo.","Текущие значения: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nПосле увеличения размера хранилища для транспортных средств его не следует уменьшать повторно в том же сохранении.","Mevcut Değerler: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nAraç depolama alanı genişletildikten sonra aynı kayıt dosyasında tekrar küçültülmemelidir.",当前值：\n 原版、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots、90_Slots \n\n车辆存储容量一旦扩展，在同一存档中就不应该再缩小。,目前值：\n 原版、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots、90_Slots \n\n車輛儲存容量一旦擴展，在同一台車輛存檔中就不應該縮小。
rwsuiMinibikeStorageSize_Option,,,,,Minibike Storage Size,,Aufbewahrungsgröße für Minibikes,Tamaño de almacenamiento de minibicicletas,Taille de rangement pour mini-moto,Dimensioni del vano portaoggetti per minimoto,ミニバイクの収納サイズ,미니바이크 보관 크기,Rozmiar przechowywania minibike'a,Tamanho do espaço de armazenamento da minimoto,Размер отсека для хранения мини-мотоцикла,Minibike Saklama Boyutu,迷你摩托车存放空间,迷你摩托車存放空間
rwsuiMinibikeStorageSize_Option_Desc,,,,,"Current Values: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nOnce vehicle storage size is expanded it should not be reduced again on the same save.",,"Aktuelle Werte: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nSobald die Fahrzeuglagergröße erweitert wurde, sollte sie im selben Spielstand nicht wieder verringert werden.","Valores actuales: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nUna vez que se amplía el tamaño de almacenamiento del vehículo, no se debe reducir nuevamente en el mismo guardado.","Valeurs actuelles : \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nUne fois la taille de stockage des véhicules augmentée, elle ne doit plus être réduite sur la même sauvegarde.","Valori attuali: \n Vanilla, 10_Slot, 20_Slot, 30_Slot, 40_Slot, 50_Slot, 60_Slot, 70_Slot, 80_Slot, 90_Slot \n\nUna volta che la dimensione dello spazio di archiviazione del veicolo è aumentata, non dovrebbe essere ridotta di nuovo nello stesso salvataggio.",現在の値: \n Vanilla、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots、90_Slots \n\n車両の保管サイズを一度拡張すると、同じ保存で再度縮小することはできません。,"현재 값: 바닐라, 10슬롯, 20슬롯, 30슬롯, 40슬롯, 50슬롯, 60슬롯, 70슬롯, 80슬롯, 90슬롯 차량 보관함 크기는 한 번 확장되면 동일한 저장 파일 내에서 다시 축소할 수 없습니다.","Bieżące wartości: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nPo zwiększeniu rozmiaru magazynu pojazdów nie powinien on zostać ponownie zmniejszony podczas tego samego zapisu.","Valores atuais: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nUma vez que o tamanho do armazenamento de veículos seja expandido, ele não deve ser reduzido novamente no mesmo jogo salvo.","Текущие значения: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nПосле увеличения размера хранилища для транспортных средств его не следует уменьшать повторно в том же сохранении.","Mevcut Değerler: \n Vanilla, 10_Slots, 20_Slots, 30_Slots, 40_Slots, 50_Slots, 60_Slots, 70_Slots, 80_Slots, 90_Slots \n\nAraç depolama alanı genişletildikten sonra aynı kayıt dosyasında tekrar küçültülmemelidir.",当前值：\n 原版、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots、90_Slots \n\n车辆存储容量一旦扩展，在同一存档中就不应该再缩小。,目前值：\n 原版、10_Slots、20_Slots、30_Slots、40_Slots、50_Slots、60_Slots、70_Slots、80_Slots、90_Slots \n\n車輛儲存容量一旦擴展，在同一台車輛存檔中就不應該縮小。
rwsuiMotorcycleStorageSize_Option,,,,,Motorcycle Storage Size,,Motorrad-Lagergröße,Tamaño de almacenamiento de motocicletas,Taille du rangement pour moto,Dimensioni del deposito per motociclette,バイクの収納サイズ,오토바이 보관 크기,Rozmiar przechowywania motocykla,Tamanho do compartimento de armazenamento da motocicleta,Размер отсека для хранения мотоцикла,Motosiklet Saklama Boyutu,摩托车储物空间,摩托車收納空間
